file_id,initials,pseudonym
Aaron_Paul_Ingham,API,Aaron Paul Ingham
Abe_Ian_Kim,AIK,Abe Ian Kim
Abner_Valentine_Lo,AVL,Abner Valentine Lo
Andrew_Yingchen_Gu,AYG,Andrew Yingchen Gu
Asher_Kibble_Ibria,AKI,Asher Kibble Ibria
Azad_Pars_Salaam,APS,Azad Pars Salaam
Big_Ey_Cai,BEC,Big Ey Cai
Billiam_Traincar_Zhu,BTZ,Billiam Traincar Zhu
Bob_Nicolas_Gonzalo,BNG,Bob Nicolas Gonzalo
Chris_Chandler_King,CCK,Chris Chandler King
Chris_Jason_Paulson,CJP,Chris Jason Paulson
Chris_Topher_Hu,CTH,Chris Topher Hu
Damian_Ubiel_Torcuato,DUT,Damian Ubiel Torcuato
Darryl_David_Miller,DDM,Darryl David Miller
David_Aaron_Beauregard,DAB,David Aaron Beauregard
Edward_Scissorhands_Salamander,ESS,Edward Scissorhands Salamander
Ethan_Nguyen_Nguyen,ENN,Ethan Nguyen Nguyen
Franklin_Kampbell_Freeman,FKF,Franklin Kampbell Freeman
Ishaan_Arav_Arun,IAA,Ishaan Arav Arun
Ishmael_Michael_Cabrera,IMC,Ishmael Michael Cabrera
James_Edward_Granton,JEG,James Edward Granton
James_Landon_Galway,JLG,James Landon Galway
Jason_Fan_Yew,JFY,Jason Fan Yew
Jason_Jerome_Cao,JJC,Jason Jerome Cao
Johnny_Gabe_Young,JGY,Johnny Gabe Young
Joss_Andrew_Section,JAS,Joss Andrew Section
Josue_Benedicto_Marti,JBM,Josue Benedicto Marti
Juniper_Jim_Sha,JJS,Juniper Jim Sha
Kamal_Chandani_Obterre,KCO,Kamal Chandani Obterre
Keith_Tadeo_Muna,KTM,Keith Tadeo Muna
Leandro_Rado_Sanchez,LRS,Leandro Rado Sanchez
Matthew_Easton_Paulson,MEP,Matthew Easton Paulson
Matthew_Enlai_Zhang,MEZ,Matthew Enlai Zhang
Micheal_Kawoori_Obterra,MKO,Micheal Kawoori Obterra
Nicholas_Andrew_Falhosh,NAF,Nicholas Andrew Falhosh
Preed_Odathi_Ghandi,POG,Preed Odathi Ghandi
Rahul_Ibhan_Ramiz,RIR,Rahul Ibhan Ramiz
Randall_Larry_McGaren,RLM,Randall Larry McGaren
Ryouma_Naru_Kouya,RNK,Ryouma Naru Kouya
Sahil_Krishna_Bhat,SKB,Sahil Krishna Bhat
Shangdong_Bill_Kang,SBK,Shangdong Bill Kang
Shannon_Samuel_Palley,SSP,Shannon Samuel Palley
Sipoon_Lance_Kim,SLK,Sipoon Lance Kim
Thane_Manny_Manuel,TMM,Thane Manny Manuel
Theo_Jasper_Zhang,TJZ,Theo Jasper Zhang
Thomas_Harries_Huckstable,THH,Thomas Harries Huckstable
Tollbooth_Jerome_Malcomb,TJM,Tollbooth Jerome Malcomb
Willard_Gary_Barry,WGB,Willard Gary Barry
Yinfan_Fred_Ha,YFH,Yinfan Fred Ha
Zeke_Thane_Painter,ZTP,Zeke Thane Painter
